gig_id,pay,discriminatory_attitude
0,0.30704137116853103,0.7401237673543295
1,0.5691972882501474,0.8111373314471451
2,0.8718664574319925,0.7880267269594319
3,0.4670095425359645,0.5257825614179906
4,0.8440424243457266,0.7469379539590819
5,0.693817585618021,0.9315450351867633
6,0.9167645426678886,0.5718335145303008
7,0.5581702529372771,0.9514834025496464
8,0.7426573094201838,0.9082120366399813
9,0.8944143591797449,0.9619523729765278
10,0.11522407675847202,0.9803054270781704
11,0.285604912725127,0.868636647793871
12,0.9492383270382335,0.6921785760596143
13,0.9522638218382853,0.761098613480518
14,0.7363520634216025,0.525058457460728
15,0.5305197735657663,0.12176054975274792
16,0.6559849458215379,0.23265212520237166
17,0.07340209223414351,0.016039311971564274
18,0.14627085734943135,0.3951925595703186
19,0.468599903732248,0.3597102778007888
20,0.8770582685154841,0.003942066740511396
21,0.8478631999177576,0.08288393614352768
22,0.42502367432204025,0.39534363081763985
23,0.6753012387158295,0.33885968638573744
24,0.9196158239456786,0.2501942807464876
25,0.8400442087625323,0.26280477367922095
26,0.9538671343178371,0.4961551564109682
27,0.15933657827497616,0.36879461734579416
28,0.36050617086275494,0.16803559197159645
29,0.0774911294108116,0.1334894511677014
30,0.41972945091571,0.4342400210102829
31,0.7771309172064466,0.40543109358375806
32,0.329423899699796,0.014743601451393973
33,0.059535644252445175,0.2545860417356509
34,0.48036320204966687,0.44514011248075464
35,0.8437951813129058,0.0017751555955257126
36,0.049267122424929255,0.18559049228407842
37,0.18452475513233713,0.40506629686407075
38,0.1745878326192628,0.17490033483517803
39,0.3112755649484098,0.48672263848380404
40,0.725068970641609,0.210755970691879
41,0.46426910906259544,0.3160201056984422
42,0.536138827181324,0.03894370765974048
43,0.716276816194307,0.2689721027261028
44,0.6085689736712331,0.29752141575447927
45,0.5240829009656813,0.27375430774874726
46,0.7351818269580338,0.47486454705421477
47,0.9847450168583757,0.2880396162722783
48,0.40044522552455375,0.19232939365763313
49,0.7446752759113808,0.4378601822167478
